content_id,content_type,upload_date,upload_time,video_views,likes,comments,shares,watch_time,completion_rate,followers_gained,engagement_total,engagement_rate,upload_hour,like_rate,comment_rate,share_rate,engagement_score,upload_category,day_name,day_type,cluster,performance_category
VID001,berita_fenomena,9/27/2025,5/13/2026 16:30,47000000,746000,4311,32000,881144322,0.048,30000,782311,0.016644915,16,0.01587234,9.17E-05,0.000680851,850622,Siang,Saturday,Weekend,1,Tinggi
VID002,berita_peristiwa,1/20/2026,5/13/2026 16:30,43000000,1200000,56000,182000,744476811,0.145,24000,1438000,0.03344186,16,0.027906977,0.001302326,0.004232558,1858000,Siang,Tuesday,Weekday,1,Tinggi
VID003,berita_aktual,2/3/2026,5/13/2026 19:48,41000000,977000,28000,350000,529467665,0.23,13000,1355000,0.03304878,19,0.023829268,0.000682927,0.008536585,2083000,Sore,Tuesday,Weekday,1,Tinggi
VID004,berita_kriminal,1/27/2026,5/13/2026 13:40,33000000,1400000,47000,98000,558398560,0.094,15000,1545000,0.046818182,13,0.042424242,0.001424242,0.002969697,1788000,Siang,Tuesday,Weekday,1,Tinggi
VID005,berita_human_interest,10/25/2025,5/13/2026 15:30,27000000,1200000,11000,273000,340707456,0.046,9600,1484000,0.054962963,15,0.044444444,0.000407407,0.010111111,2041000,Siang,Saturday,Weekend,1,Tinggi
VID006,berita_human_interest,2/7/2026,5/13/2026 17:50,26000000,2200000,5442,53000,541877352,0.046,9500,2258442,0.086863154,17,0.084615385,0.000209308,0.002038462,2369884,Sore,Saturday,Weekend,1,Tinggi
VID007,berita_peristiwa,9/23/2025,5/13/2026 16:05,26000000,162000,1977,6558,311250282,0.218,8300,170535,0.006559038,16,0.006230769,7.60E-05,0.000252231,185628,Siang,Tuesday,Weekday,2,Sedang
VID008,berita_human_interest,1/16/2026,5/13/2026 20:45,24000000,606000,50000,92000,420596493,0.122,15000,748000,0.031166667,20,0.02525,0.002083333,0.003833333,982000,Sore,Friday,Weekday,1,Tinggi
VID009,berita_human_interest,1/27/2026,5/13/2026 15:45,22000000,847000,15000,152000,428336557,0.128,5700,1014000,0.046090909,15,0.0385,0.000681818,0.006909091,1333000,Siang,Tuesday,Weekday,1,Tinggi
VID010,berita_fenomena,10/31/2025,5/13/2026 20:00,21000000,927000,19000,84000,492994530,0.047,6500,1030000,0.049047619,20,0.044142857,0.000904762,0.004,1217000,Sore,Friday,Weekday,1,Tinggi
VID011,berita_fenomena,12/16/2025,5/13/2026 19:00,20000000,1100000,10000,74000,489840741,0.175,9700,1184000,0.0592,19,0.055,0.0005,0.0037,1342000,Sore,Tuesday,Weekday,1,Tinggi
VID012,berita_aktual,3/7/2026,5/13/2026 18:00,20000000,709000,28000,89000,309464191,0.166,14000,826000,0.0413,18,0.03545,0.0014,0.00445,1032000,Sore,Saturday,Weekend,1,Tinggi
VID013,berita_human_interest,12/12/2025,5/13/2026 16:00,20000000,922000,5416,33000,227617916,0.106,32000,960416,0.0480208,16,0.0461,0.0002708,0.00165,1031832,Siang,Friday,Weekday,1,Tinggi
VID014,berita_peristiwa,1/18/2026,5/13/2026 15:00,19000000,331000,7368,32000,266118924,0.238,10000,370368,0.019493053,15,0.017421053,0.000387789,0.001684211,441736,Siang,Sunday,Weekend,2,Sedang
VID015,berita_peristiwa,2/14/2026,5/13/2026 21:40,19000000,265000,9502,97000,436489802,0.071,9700,371502,0.019552737,21,0.013947368,0.000500105,0.005105263,575004,Malam,Saturday,Weekend,2,Sedang
VID016,berita_peristiwa,4/29/2026,5/13/2026 12:00,138000,1525,37,37,2848025,0.026,44,1599,0.011586957,12,0.011050725,0.000268116,0.000268116,1710,Siang,Wednesday,Weekday,0,Rendah
