date,day_name,month_name,video_views,profile_views,likes,comments,shares,engagement_total,engagement_rate,cluster,performance_category
2025-05-06,Tuesday,May,234699,695,4216,176,139,4531,1.9305578634761973,2,Rendah
2025-05-07,Wednesday,May,239457,753,4021,228,151,4400,1.8374906559424031,2,Rendah
2025-05-08,Thursday,May,747974,2827,15235,5944,9189,30368,4.060034172310802,2,Rendah
2025-05-09,Friday,May,226636,733,3949,861,214,5024,2.216770504244692,2,Rendah
2025-05-10,Saturday,May,351905,776,6008,4084,204,10296,2.9257896307242013,2,Rendah
2025-05-11,Sunday,May,201422,599,3579,1483,113,5175,2.56923275511116,2,Rendah
2025-05-12,Monday,May,176456,463,3264,1725,92,5081,2.8794713696332233,2,Rendah
2025-05-13,Tuesday,May,125742,461,2076,629,122,2827,2.2482543621065356,2,Rendah
2025-05-14,Wednesday,May,160181,492,2739,1292,144,4175,2.6064264800444494,2,Rendah
2025-05-15,Thursday,May,227087,568,3083,1266,149,4498,1.980738659632652,2,Rendah
2025-05-16,Friday,May,537869,1071,9993,2726,715,13434,2.497634182300895,2,Rendah
2025-05-17,Saturday,May,422577,841,9261,2634,398,12293,2.9090556277317505,2,Rendah
2025-05-18,Sunday,May,224908,477,4517,1300,318,6135,2.727782026428584,2,Rendah
2025-05-19,Monday,May,363362,675,6602,904,198,7704,2.120199690666608,2,Rendah
2025-05-20,Tuesday,May,1216100,1551,29795,2014,724,32533,2.675191184935449,2,Rendah
2025-05-21,Wednesday,May,489271,819,12868,705,273,13846,2.8299245203578383,2,Rendah
2025-05-22,Thursday,May,311333,540,8157,524,206,8887,2.8544998442182488,2,Rendah
2025-05-23,Friday,May,155174,356,3181,296,119,3596,2.317398533259438,2,Rendah
2025-05-24,Saturday,May,93872,236,1929,148,84,2161,2.3020709050622123,2,Rendah
2025-05-25,Sunday,May,83332,267,1631,88,54,1773,2.1276340421446744,2,Rendah
2025-05-26,Monday,May,66449,194,1036,75,64,1175,1.7682734126924406,2,Rendah
2025-05-27,Tuesday,May,82322,252,1523,82,57,1662,2.01890138723549,2,Rendah
2025-05-28,Wednesday,May,565791,843,9733,913,190,10836,1.9151948334278912,2,Rendah
2025-05-29,Thursday,May,1808328,2506,52548,2738,1004,56290,3.1128202405758247,2,Rendah
2025-05-30,Friday,May,911438,1571,20592,1115,453,22160,2.4313228107671616,2,Rendah
2025-05-31,Saturday,May,634933,1029,14900,666,324,15890,2.50262626135356,2,Rendah
2025-06-01,Sunday,June,369824,711,8904,426,242,9572,2.588258198494419,2,Rendah
2025-06-02,Monday,June,332530,639,6100,273,148,6521,1.9610260728355335,2,Rendah
2025-06-03,Tuesday,June,170444,496,2072,105,43,2220,1.3024805801318908,2,Rendah
2025-06-04,Wednesday,June,186407,421,2264,-156,67,2175,1.166801675902729,2,Rendah
2025-06-05,Thursday,June,267985,597,3972,292,247,4511,1.6833031699535421,2,Rendah
2025-06-06,Friday,June,366956,866,6777,1497,391,8665,2.361318523201692,2,Rendah
2025-06-07,Saturday,June,339033,653,5993,967,282,7242,2.1360752493120136,2,Rendah
2025-06-08,Sunday,June,405109,704,7038,835,378,8251,2.0367357920954605,2,Rendah
2025-06-09,Monday,June,401990,751,7470,846,339,8655,2.153038632801811,2,Rendah
2025-06-10,Tuesday,June,465551,828,8673,544,446,9663,2.075605035753333,2,Rendah
2025-06-11,Wednesday,June,617650,1125,9514,970,476,10960,1.7744677406298064,2,Rendah
2025-06-12,Thursday,June,487425,971,6290,609,318,7217,1.480638046879007,2,Rendah
2025-06-13,Friday,June,388818,753,5523,-45,212,5690,1.4634096158099676,2,Rendah
2025-06-14,Saturday,June,306347,589,4299,127,191,4617,1.507114481290824,2,Rendah
2025-06-15,Sunday,June,376992,660,5315,213,265,5793,1.5366373822256176,2,Rendah
2025-06-16,Monday,June,291059,580,3887,13,200,4100,1.4086491055078179,2,Rendah
2025-06-17,Tuesday,June,348854,704,5498,108,332,5938,1.7021447367666704,2,Rendah
2025-06-18,Wednesday,June,202786,493,3194,-27,200,3367,1.6603710315307763,2,Rendah
2025-06-19,Thursday,June,141344,501,1993,-264,103,1832,1.2961285940683722,2,Rendah
2025-06-20,Friday,June,154104,479,1964,-149,115,1930,1.252400975964284,2,Rendah
2025-06-21,Saturday,June,1667765,3778,61729,424,119,62272,3.733859386664188,2,Rendah
2025-06-22,Sunday,June,205305,551,5310,-72,81,5319,2.590779571856506,2,Rendah
2025-06-23,Monday,June,625724,1034,22642,499,100,23241,3.7142574042229484,2,Rendah
2025-06-24,Tuesday,June,521900,724,12665,118,137,12920,2.4755700325732897,2,Rendah
2025-06-25,Wednesday,June,1134187,2693,23154,1146,152,24452,2.1559055076455644,2,Rendah
2025-06-26,Thursday,June,558739,1367,12454,522,108,13084,2.3417015815971323,2,Rendah
2025-06-27,Friday,June,733282,2131,14169,773,78,15020,2.0483252009458845,2,Rendah
2025-06-28,Saturday,June,1826232,3790,29975,912,1053,31940,1.7489563209931707,2,Rendah
2025-06-29,Sunday,June,2799555,6637,87945,1408,3479,92832,3.315955571510472,2,Rendah
2025-06-30,Monday,June,915941,1993,23168,436,371,23975,2.6175266747530683,2,Rendah
2025-07-01,Tuesday,July,1522535,2484,41979,1004,234,43217,2.8384897555721214,2,Rendah
2025-07-02,Wednesday,July,836497,1551,20551,259,133,20943,2.5036551236884295,2,Rendah
2025-07-03,Thursday,July,800898,1428,17749,171,84,18004,2.247976646214624,2,Rendah
2025-07-04,Friday,July,757607,1468,11282,145,220,11647,1.537340600073653,2,Rendah
2025-07-05,Saturday,July,2794658,6315,55108,2149,5786,63043,2.2558395338535164,2,Rendah
2025-07-06,Sunday,July,3194079,8165,97142,2916,8063,108121,3.385044640411211,2,Rendah
2025-07-07,Monday,July,1918951,4555,55163,1154,5461,61778,3.2193630790989456,2,Rendah
2025-07-08,Tuesday,July,1094344,2828,23713,514,2123,26350,2.4078351962454216,2,Rendah
2025-07-09,Wednesday,July,994900,2386,21162,304,2085,23551,2.36717258015881,2,Rendah
2025-07-10,Thursday,July,648776,1734,12271,176,1017,13464,2.075292550895841,2,Rendah
2025-07-11,Friday,July,458111,1317,9573,206,1028,10807,2.359035255647649,2,Rendah
2025-07-12,Saturday,July,400214,1127,10537,49,1173,11759,2.9381780747300192,2,Rendah
